2025-10-18 15:54:11,Jaime1:{'x': 426864633, 'y': -29429133, 'z': 0}
2025-10-18 15:54:39,Jaime1:{'x': 426866116, 'y': -29428300, 'z': 0}
2025-10-18 15:56:38,Jaime1:{'x': 426864633, 'y': -29429133, 'z': 0}
2025-10-18 15:57:05,Jaime1:{'x': 426866233, 'y': -29428627, 'z': 464}
2025-10-18 16:00:02,Jaime1:{'x': 426864633, 'y': -29429133, 'z': 0}
2025-10-18 16:00:04,Jaime1:{'x': 426864633, 'y': -29429133, 'z': 0}
2025-10-18 16:00:40,Jaime1:{'x': 426864366, 'y': -29429283, 'z': 0}
2025-10-18 16:01:33,Jaime1:{'x': 426863966, 'y': -29427516, 'z': 0}
2025-10-18 16:02:43,Jaime1:{'x': 426864783, 'y': -29428433, 'z': 0}
2025-10-18 16:03:42,Jaime1:{'x': 426865500, 'y': -29429383, 'z': 0}
